|                  map | bin width | bin# | NH3_11 | NH3_22 | NH3_33 |  C2S |  HC5N | HC7N_21_20 | HC7N_22_21 |
| L1455_NH3_11_all.fit |       500 |    0 |    1.3 |  -3.56 |  27.24 | 6.72 | 12.53 |      -0.31 |    -153.84 |
| L1455_NH3_11_all.fit |       500 |    1 |   1.92 |   0.46 |   1.69 |  2.8 |  1.13 |       0.37 |       1.38 |
| L1455_NH3_11_all.fit |       500 |    2 |   1.54 |   0.62 |   1.58 |  2.5 |  0.88 |        0.9 |       1.13 |
| L1455_NH3_11_all.fit |       500 |    3 |   1.37 |   0.81 |   1.65 | 2.32 |  1.13 |       0.87 |       1.34 |
| L1455_NH3_11_all.fit |       500 |    4 |   1.25 |   0.82 |   1.45 | 1.83 |  1.22 |       0.73 |       1.18 |
| L1455_NH3_11_all.fit |       500 |    5 |   1.15 |   0.74 |    1.7 |  1.7 |  1.16 |       0.75 |       1.15 |
| L1455_NH3_11_all.fit |       500 |    6 |   1.26 |    0.7 |   1.64 | 1.41 |  1.18 |       0.84 |       1.08 |
| L1455_NH3_11_all.fit |       500 |    7 |   1.23 |   0.66 |    1.2 | 0.73 |  1.16 |       0.78 |       1.13 |
| L1455_NH3_11_all.fit |       500 |    8 |   1.19 |   0.61 |    1.0 | 0.78 |  1.36 |       0.72 |       1.05 |
| L1455_NH3_11_all.fit |       500 |    9 |   1.23 |   0.72 |   0.88 | 0.44 |  1.33 |       0.77 |       1.01 |
