|                      map | bin width | bin# |             T_med |             H3 |           H3_22 |             H3_33 |                2S |             HC5N |       HC7N_21_20 |       HC7N_22_2 |
| NGC1333_Temperature.fits |     500.0 |  0.0 | 7.42259302815e+22 |  4.51721712958 |   1.20038799016 |    0.339639575096 |    0.353340062411 |  0.0628027874567 |  -0.728472120563 | -0.478612812951 |
| NGC1333_Temperature.fits |     500.0 |  1.0 | 2.86285629769e+22 |  2.94583508717 |  0.701744422069 |   0.0818295412638 |    0.115704899482 |  0.0236592985376 |  -0.411395385388 | -0.341374610883 |
| NGC1333_Temperature.fits |     500.0 |  2.0 |   1.599787156e+22 |   1.4907328211 |  0.324593766936 |   0.0298039866106 |    0.056271351965 |  0.0162636401982 |  -0.245326137097 | -0.345386652454 |
| NGC1333_Temperature.fits |     500.0 |  3.0 | 1.23169404654e+22 |  1.13944662187 |  0.216325389041 | -0.00108821521546 |   0.0663623374804 |  0.0169560784434 |  -0.205783776734 | -0.331326973576 |
| NGC1333_Temperature.fits |     500.0 |  4.0 | 1.01853459383e+22 |  0.90790313745 |  0.151555257776 | -0.00671971599002 |   0.0434967845164 |  0.0185101914693 |  -0.155526892704 | -0.276750109888 |
| NGC1333_Temperature.fits |     500.0 |  5.0 | 8.61964092584e+21 | 0.739554707322 |  0.102441252687 |  -0.0117354518238 |   0.0221390495443 |  0.0148527073792 |  -0.135537566304 | -0.233539241613 |
| NGC1333_Temperature.fits |     500.0 |  6.0 |  7.5445396335e+21 | 0.604760958986 | 0.0832898695796 | -0.00547108894051 |   0.0245563126574 | 0.00470104661216 |  -0.118337060397 |  -0.23626816004 |
| NGC1333_Temperature.fits |     500.0 |  7.0 | 6.73473729241e+21 | 0.481488447534 | 0.0694089092998 | -0.00814825336678 |   0.0233959946313 |  0.0107817988267 |   -0.10475514748 | -0.209133079282 |
| NGC1333_Temperature.fits |     500.0 |  8.0 | 6.08830110328e+21 | 0.395187704117 | 0.0463159205175 | -0.00377301891261 |   0.0278910366909 |    0.01938818265 | -0.0914570212646 | -0.207368159247 |
| NGC1333_Temperature.fits |     500.0 |  9.0 | 5.57731414487e+21 | 0.320395957473 | 0.0418649840177 |  0.00390064893614 |   0.0179257725612 |  0.0170484791479 | -0.0748279736301 | -0.195700785514 |
| NGC1333_Temperature.fits |     500.0 | 10.0 | 5.18724474136e+21 | 0.244136489341 | 0.0272251919756 |  0.00393264961963 |   0.0208815217014 |  0.0078762168761 | -0.0654605110938 |  -0.21959903292 |
| NGC1333_Temperature.fits |     500.0 | 11.0 | 4.90112408458e+21 | 0.180972877107 | 0.0150069081703 |  0.00910158682292 | -0.00504283604686 | 0.00239112064679 | -0.0683981087604 |  -0.24327321225 |
| NGC1333_Temperature.fits |     500.0 | 12.0 | 4.65800865672e+21 | 0.167024299733 | 0.0142489860303 |  0.00984392574801 |  0.00372353856995 |  0.0108474314159 | -0.0596257022038 | -0.217360715641 |
| NGC1333_Temperature.fits |     500.0 | 13.0 | 4.45236382052e+21 | 0.150526572506 | 0.0139085135957 |  0.00476885002868 | -0.00573416408391 |  0.0120313157057 | -0.0531895016421 |  -0.20966171185 |
| NGC1333_Temperature.fits |     500.0 | 14.0 | 4.26056044758e+21 | 0.136032349862 | 0.0113570866535 |   0.0137312311628 |  0.00626543467044 |  0.0125597027337 | -0.0517547484172 | -0.185047443681 |
